"cs30_gene","f6_gene","identity"
"csmA","fasA",56.1576354679803
"csmA","fasB",24.8062015503876
"csmA","fasC",18.5714285714286
"csmA","fasD",13.9784946236559
"csmA","fasE",22.9268292682927
"csmA","fasF",28.0373831775701
"csmA","fasG",20.2020202020202
"csmB","fasA",21.3114754098361
"csmB","fasB",56.3559322033898
"csmB","fasC",19.9203187250996
"csmB","fasD",14.9521531100478
"csmB","fasE",22.4066390041494
"csmB","fasF",23.6286919831224
"csmB","fasG",21.8905472636816
"csmC","fasA",23.3333333333333
"csmC","fasB",23.9316239316239
"csmC","fasC",39.2405063291139
"csmC","fasD",11.0047846889952
"csmC","fasE",22.2222222222222
"csmC","fasF",24.8704663212435
"csmC","fasG",17.25
"csmD","fasA",13.5167464114833
"csmD","fasB",15.0717703349282
"csmD","fasC",11.3636363636364
"csmD","fasD",52.5504151838671
"csmD","fasE",10.0478468899522
"csmD","fasF",11.7224880382775
"csmD","fasG",20.2830188679245
"csmE","fasA",22.9591836734694
"csmE","fasB",23.2365145228216
"csmE","fasC",22.2222222222222
"csmE","fasD",10.5263157894737
"csmE","fasE",42.7536231884058
"csmE","fasF",22.0338983050847
"csmE","fasG",17.632241813602
"csmF","fasA",24.8803827751196
"csmF","fasB",25.2066115702479
"csmF","fasC",24.7368421052632
"csmF","fasD",12.4253285543608
"csmF","fasE",22.4043715846995
"csmF","fasF",36.2162162162162
"csmF","fasG",18.9393939393939
"csmG","fasA",21.3032581453634
"csmG","fasB",20.4030226700252
"csmG","fasC",18.3879093198992
"csmG","fasD",19.9763593380615
"csmG","fasE",18.0451127819549
"csmG","fasF",19.8992443324937
"csmG","fasG",32.0574162679426
