"cs13_gene","cs23_gene","identity"
"cshA","aalA",71.578947368421
"cshA","aalB",14.2483660130719
"cshA","aalC",19.5876288659794
"cshA","aalD",22.4489795918367
"cshA","aalE",20.817843866171
"cshA","aalF",26.007326007326
"cshA","aalG",22.7053140096618
"cshA","aalH",22.7450980392157
"cshB","aalA",12.1951219512195
"cshB","aalB",95.5958549222798
"cshB","aalC",17.0731707317073
"cshB","aalD",11.8181818181818
"cshB","aalE",16.4014687882497
"cshB","aalF",16.2990196078431
"cshB","aalG",13.4146341463415
"cshB","aalH",15.4430379746835
"cshC","aalA",23.0188679245283
"cshC","aalB",17.5710594315245
"cshC","aalC",81.2925170068027
"cshC","aalD",24.3346007604563
"cshC","aalE",23.4323432343234
"cshC","aalF",21.602787456446
"cshC","aalG",22.9090909090909
"cshC","aalH",21.8855218855219
"cshD","aalA",21.9251336898396
"cshD","aalB",14.2659279778393
"cshD","aalC",23.6301369863014
"cshD","aalD",85.2760736196319
"cshD","aalE",22.4334600760456
"cshD","aalF",23.8805970149254
"cshD","aalG",26.2032085561497
"cshD","aalH",25.3968253968254
"cshE","aalA",23.7226277372263
"cshE","aalB",17.012987012987
"cshE","aalC",20.1365187713311
"cshE","aalD",23.9543726235741
"cshE","aalE",41.0071942446043
"cshE","aalF",29.3515358361775
"cshE","aalG",25.5555555555556
"cshE","aalH",24.0875912408759
"cshF","aalA",25.5474452554745
"cshF","aalB",18.0851063829787
"cshF","aalC",22
"cshF","aalD",23.2558139534884
"cshF","aalE",24.9110320284698
"cshF","aalF",84.9624060150376
"cshF","aalG",24.0740740740741
"cshF","aalH",24.468085106383
"cshG","aalA",23.1939163498099
"cshG","aalB",17.2903225806452
"cshG","aalC",23.2704402515723
"cshG","aalD",29.1304347826087
"cshG","aalE",24.2105263157895
"cshG","aalF",25.2669039145907
"cshG","aalG",44.7058823529412
"cshG","aalH",24.3986254295533
"cshH","aalA",23.7354085603113
"cshH","aalB",15.374677002584
"cshH","aalC",22.360248447205
"cshH","aalD",23.8095238095238
"cshH","aalE",24.1830065359477
"cshH","aalF",24.4755244755245
"cshH","aalG",23.6434108527132
"cshH","aalH",82.1138211382114
